				Time	Device Name	Type	PID	Tag	Message
				11-06 10:37:30.540	 5" KitKat (4.4) XXHDPI Phone	Debug	461	MobileDataStateTracker	cbs: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=cbs
				11-06 10:37:26.532	 5" KitKat (4.4) XXHDPI Phone	Info	488	ZygoteLaunch	Launched PID 489 
				11-06 10:37:26.544	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Hello there! -Donatello
				11-06 10:37:26.548	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Version 1.0.160404
				11-06 10:37:26.548	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Starting Listener loop
				11-06 10:37:26.552	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Configure stack to prefer IPv4.
				11-06 10:37:26.556	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Address 1:  fe8000000000000000dedefffedede00 (16)
				11-06 10:37:26.556	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	IsInternal: true
				11-06 10:37:26.556	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Opening server HalNewPipeSocketHandler on '/127.0.0.1:3555'
				11-06 10:37:26.556	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Donatello service listener is running.
				11-06 10:37:26.556	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Address 2:  169.254.138.177
				11-06 10:37:26.556	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Opening server NewPipeSocketHandler on '/169.254.138.177:3554'
				11-06 10:37:26.556	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	MAC: 02dededede00
				11-06 10:37:26.556	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Adapter 1:
				11-06 10:37:26.556	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Running selection loop
				11-06 10:37:26.560	 5" KitKat (4.4) XXHDPI Phone	Info	461	ServiceManager	Waiting for service SurfaceFlinger...
				11-06 10:37:26.780	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Responding on UDP...
				11-06 10:37:26.780	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	XDE UDP Handshake Handler
				11-06 10:37:26.780	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Reading UDP Message...
				11-06 10:37:26.780	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Finished UDP handling.
				11-06 10:37:26.848	 5" KitKat (4.4) XXHDPI Phone	Debug	129	DonatelloNative_Input	Connected to HAL - Input Pipe
				11-06 10:37:26.848	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read hal pipe type Gpu.
				11-06 10:37:26.848	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read hal pipe type Input.
				11-06 10:37:26.848	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.848	 5" KitKat (4.4) XXHDPI Phone	Debug	129	DonatelloNative_GpuProxy	Connected to HAL - GPU Initiator Pipe
				11-06 10:37:26.848	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.856	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Started WaitForConnectionAndMaybeNotifyThread
				11-06 10:37:26.856	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read hal pipe type RilNetworkSimulation.
				11-06 10:37:26.856	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.856	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	XdeInsightDataHandler is null
				11-06 10:37:26.892	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type ShellReady.
				11-06 10:37:26.892	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:26.892	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.896	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Handling ShellReady.
				11-06 10:37:26.896	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Sending ShellReady message.
				11-06 10:37:26.896	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Closing channel.
				11-06 10:37:26.916	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.916	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type SimpleCommands.
				11-06 10:37:26.916	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:26.920	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type Location.
				11-06 10:37:26.920	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	XDE SimpleCommands Pipe Data Handler ---------------------------
				11-06 10:37:26.920	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:26.920	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Handling simple command: GetSensorsEnabledStates.
				11-06 10:37:26.920	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Reading SimpleCommand Header
				11-06 10:37:26.920	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.928	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:26.928	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.928	 5" KitKat (4.4) XXHDPI Phone	Debug	489	dalvikvm	GC_CONCURRENT freed 331K, 12% free 3085K/3480K, paused 4ms+0ms, total 8ms
				11-06 10:37:26.932	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type Accelerometer.
				11-06 10:37:26.932	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:26.932	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type TouchInput.
				11-06 10:37:26.932	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Ignoring Unhandled Pipe: 942aa0b2-d167-46a4-9c4b-eb634f09c6b5
				11-06 10:37:26.932	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.932	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:26.932	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.932	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type Microphone.
				11-06 10:37:26.940	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Ignoring Unhandled Pipe: e34f8a1d-166c-44ae-9085-c68462b66099
				11-06 10:37:26.940	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.940	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:26.940	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:26.940	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type GuestNotifications.
				11-06 10:37:26.940	 5" KitKat (4.4) XXHDPI Phone	Debug	136	Donatello.EmulatedCamera_Preview	Camera: waiting for image packet via read
				11-06 10:37:26.940	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read hal pipe type CameraOutgoing.
				11-06 10:37:27.284	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read hal pipe type Telemetry.
				11-06 10:37:27.284	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	XdeInsightDataHandler is null
				11-06 10:37:27.284	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:27.284	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	XdeInsightDataHandler is null
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Power:setBatteryCharging: true
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type Insight.
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	@@Key: architecture
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Reallocating bigger buffer
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type PowerManagement.
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:27.292	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	@@Key: is64bit
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type Audio.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type SDCard.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Checking type.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Sending initiation request to host
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type CameraOutgoing.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type Gpu.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Info	489	DonatelloService	Read pipe type Diagnostics.
				11-06 10:37:27.300	 5" KitKat (4.4) XXHDPI Phone	Debug	489	DonatelloService	Handle unknown data pipe.
